CMDLINE python run_simulation.py --data_path ../accelerometer_2020-04-03T160405505Z.csv --video_path ../out_video_2020-04-03T160405505Z_512.avi --info_path ../frame_index_2020-04-03T160405505Z.csv --speed 1 --verbose
MEM 1.367188 1588178014.5927
MEM 17.085938 1588178014.6931
MEM 32.058594 1588178014.7934
MEM 51.472656 1588178014.8937
MEM 62.308594 1588178014.9939
MEM 78.582031 1588178015.0942
MEM 100.441406 1588178015.1945
MEM 102.753906 1588178015.2949
MEM 112.511719 1588178015.3951
MEM 140.917969 1588178015.4955
MEM 180.000000 1588178015.5958
MEM 267.800781 1588178015.6962
MEM 353.652344 1588178015.7965
MEM 438.472656 1588178015.8969
MEM 529.480469 1588178015.9972
MEM 611.980469 1588178016.0975
MEM 696.800781 1588178016.1979
MEM 718.195312 1588178016.2982
MEM 718.195312 1588178016.3985
MEM 718.195312 1588178016.4992
MEM 718.195312 1588178016.5996
MEM 718.195312 1588178016.6999
MEM 718.195312 1588178016.8003
MEM 718.195312 1588178016.9006
MEM 718.195312 1588178017.0009
MEM 718.195312 1588178017.1012
MEM 718.195312 1588178017.2015
MEM 718.199219 1588178017.3021
MEM 718.230469 1588178017.4025
MEM 718.230469 1588178017.5028
MEM 718.230469 1588178017.6031
